inventory_id,product_id,snapshot_date,warehouse_id,quantity_on_hand,quantity_reserved,reorder_triggered,unit_cost_snapshot,created_at,reorder_point,reorder_quantity,quantity_available,is_below_reorder
117,1,2024-04-26,WH-002,190,10,False,623.01,2024-04-26,71,142,180,False
118,1,2024-04-27,WH-002,189,1,False,644.1,2024-04-27,71,142,188,False
119,1,2024-04-28,WH-002,188,0,False,642.18,2024-04-28,71,142,188,False
120,1,2024-04-29,WH-002,187,31,False,627.59,2024-04-29,71,142,156,False
121,1,2024-04-30,WH-002,182,14,False,636.45,2024-04-30,71,142,168,False
122,1,2024-05-01,WH-002,181,40,False,645.08,2024-05-01,71,142,141,False
123,1,2024-05-02,WH-002,179,5,False,637.36,2024-05-02,71,142,174,False
124,1,2024-05-03,WH-002,178,21,False,618.76,2024-05-03,71,142,157,False
125,1,2024-05-04,WH-002,177,1,False,617.25,2024-05-04,71,142,176,False
126,1,2024-05-05,WH-002,176,16,False,619.15,2024-05-05,71,142,160,False
127,1,2024-05-06,WH-002,173,5,False,626.8,2024-05-06,71,142,168,False
128,1,2024-05-07,WH-002,171,17,False,643.71,2024-05-07,71,142,154,False
129,1,2024-05-08,WH-002,170,5,False,616.89,2024-05-08,71,142,165,False
130,1,2024-05-09,WH-002,170,20,False,647.74,2024-05-09,71,142,150,False
131,1,2024-05-10,WH-002,170,2,False,619.77,2024-05-10,71,142,168,False
132,1,2024-05-11,WH-002,170,12,False,649.2,2024-05-11,71,142,158,False
133,1,2024-05-12,WH-002,170,12,False,618.9,2024-05-12,71,142,158,False
134,1,2024-05-13,WH-002,170,24,False,626.74,2024-05-13,71,142,146,False
135,1,2024-05-14,WH-002,170,41,False,627.11,2024-05-14,71,142,129,False
136,1,2024-05-15,WH-002,170,11,False,630.81,2024-05-15,71,142,159,False
137,1,2024-05-16,WH-002,170,25,False,621.57,2024-05-16,71,142,145,False
138,1,2024-05-17,WH-002,170,25,False,617.52,2024-05-17,71,142,145,False
139,1,2024-05-18,WH-002,170,1,False,634.88,2024-05-18,71,142,169,False
140,1,2024-05-19,WH-002,169,22,False,616.83,2024-05-19,71,142,147,False
141,1,2024-05-20,WH-002,168,28,False,647.69,2024-05-20,71,142,140,False
142,1,2024-05-21,WH-002,164,21,False,623.33,2024-05-21,71,142,143,False
143,1,2024-05-22,WH-002,161,21,False,629.06,2024-05-22,71,142,140,False
144,1,2024-05-23,WH-002,158,5,False,628.48,2024-05-23,71,142,153,False
145,1,2024-05-24,WH-002,153,35,False,621.32,2024-05-24,71,142,118,False
146,1,2024-05-25,WH-002,151,18,False,637.71,2024-05-25,71,142,133,False
147,1,2024-05-26,WH-002,149,27,False,642.18,2024-05-26,71,142,122,False
148,1,2024-05-27,WH-002,147,7,False,615.34,2024-05-27,71,142,140,False
149,1,2024-05-28,WH-002,145,13,False,618.44,2024-05-28,71,142,132,False
150,1,2024-05-29,WH-002,143,35,False,647.12,2024-05-29,71,142,108,False
151,1,2024-05-30,WH-002,141,33,False,626.79,2024-05-30,71,142,108,False
152,1,2024-05-31,WH-002,139,13,False,644.42,2024-05-31,71,142,126,False
153,1,2024-06-01,WH-002,137,10,False,621.07,2024-06-01,71,142,127,False
154,1,2024-06-02,WH-002,136,0,False,614.68,2024-06-02,71,142,136,False
155,1,2024-06-03,WH-002,133,25,False,635.11,2024-06-03,71,142,108,False
156,1,2024-06-04,WH-002,128,32,False,629.66,2024-06-04,71,142,96,False
157,1,2024-06-05,WH-002,124,14,False,644.42,2024-06-05,71,142,110,False
158,1,2024-06-06,WH-002,121,12,False,612.4,2024-06-06,71,142,109,False
159,1,2024-06-07,WH-002,118,28,False,628.11,2024-06-07,71,142,90,False
160,1,2024-06-08,WH-002,115,12,False,614.69,2024-06-08,71,142,103,False
161,1,2024-06-09,WH-002,114,8,False,637.93,2024-06-09,71,142,106,False
162,1,2024-06-10,WH-002,113,15,False,636.93,2024-06-10,71,142,98,False
163,1,2024-06-11,WH-002,112,19,False,624.4,2024-06-11,71,142,93,False
164,1,2024-06-12,WH-002,110,22,False,646.57,2024-06-12,71,142,88,False
165,1,2024-06-13,WH-002,109,24,False,622.26,2024-06-13,71,142,85,False
166,1,2024-06-14,WH-002,108,27,False,645.3,2024-06-14,71,142,81,False
167,1,2024-06-15,WH-002,107,26,False,635.99,2024-06-15,71,142,81,False
168,1,2024-06-16,WH-002,105,14,False,648.99,2024-06-16,71,142,91,False
169,1,2024-06-17,WH-002,102,2,False,644.78,2024-06-17,71,142,100,False
170,1,2024-06-18,WH-002,101,5,False,633.83,2024-06-18,71,142,96,False
171,1,2024-06-19,WH-002,99,16,False,643.92,2024-06-19,71,142,83,False
172,1,2024-06-20,WH-002,96,21,False,614.96,2024-06-20,71,142,75,False
173,1,2024-06-21,WH-002,95,10,False,634.4,2024-06-21,71,142,85,False
174,1,2024-06-22,WH-002,94,9,False,613.0,2024-06-22,71,142,85,False
175,1,2024-06-23,WH-002,93,23,False,630.1,2024-06-23,71,142,70,True
176,1,2024-06-24,WH-002,91,3,False,629.13,2024-06-24,71,142,88,False
177,1,2024-06-25,WH-002,90,8,False,636.55,2024-06-25,71,142,82,False
178,1,2024-06-26,WH-002,86,14,False,645.49,2024-06-26,71,142,72,False
179,1,2024-06-27,WH-002,80,6,False,623.85,2024-06-27,71,142,74,False
180,1,2024-06-28,WH-002,78,15,False,615.27,2024-06-28,71,142,63,True
181,1,2024-06-29,WH-002,76,8,False,614.2,2024-06-29,71,142,68,True
182,1,2024-06-30,WH-002,75,8,False,644.57,2024-06-30,71,142,67,True
183,1,2024-07-01,WH-002,74,9,False,644.14,2024-07-01,71,142,65,True
184,1,2024-07-02,WH-002,71,2,True,627.6,2024-07-02,71,142,69,True
185,1,2024-07-03,WH-002,69,0,False,638.34,2024-07-03,71,142,69,True
186,1,2024-07-04,WH-002,67,6,False,613.57,2024-07-04,71,142,61,True
187,1,2024-07-05,WH-002,65,9,False,627.78,2024-07-05,71,142,56,True
188,1,2024-07-06,WH-002,63,0,False,642.64,2024-07-06,71,142,63,True
189,1,2024-07-07,WH-002,62,7,False,635.7,2024-07-07,71,142,55,True
190,1,2024-07-08,WH-002,61,14,False,637.62,2024-07-08,71,142,47,True
191,1,2024-07-09,WH-002,60,8,False,633.6,2024-07-09,71,142,52,True
192,1,2024-07-10,WH-002,56,1,False,649.2,2024-07-10,71,142,55,True
193,1,2024-07-11,WH-002,52,7,False,614.84,2024-07-11,71,142,45,True
194,1,2024-07-12,WH-002,47,11,False,628.97,2024-07-12,71,142,36,True
195,1,2024-07-13,WH-002,46,10,False,632.0,2024-07-13,71,142,36,True
196,1,2024-07-14,WH-002,44,9,False,629.4,2024-07-14,71,142,35,True
197,1,2024-07-15,WH-002,42,7,False,628.08,2024-07-15,71,142,35,True
198,1,2024-07-16,WH-002,40,8,False,632.1,2024-07-16,71,142,32,True
199,1,2024-07-17,WH-002,37,8,False,648.67,2024-07-17,71,142,29,True
200,1,2024-07-18,WH-002,32,4,False,632.64,2024-07-18,71,142,28,True
201,1,2024-07-19,WH-002,28,7,False,643.3,2024-07-19,71,142,21,True
202,1,2024-07-20,WH-002,27,6,False,628.13,2024-07-20,71,142,21,True
203,1,2024-07-21,WH-002,25,4,False,621.23,2024-07-21,71,142,21,True
204,1,2024-07-22,WH-002,24,6,False,628.28,2024-07-22,71,142,18,True
205,1,2024-07-23,WH-002,22,5,False,630.41,2024-07-23,71,142,17,True
206,1,2024-07-24,WH-002,161,38,False,612.01,2024-07-24,71,142,123,False
207,1,2024-07-25,WH-002,159,5,False,624.26,2024-07-25,71,142,154,False
208,1,2024-07-26,WH-002,158,24,False,633.16,2024-07-26,71,142,134,False
209,1,2024-07-27,WH-002,155,12,False,636.44,2024-07-27,71,142,143,False
210,1,2024-07-28,WH-002,154,21,False,636.29,2024-07-28,71,142,133,False
211,1,2024-07-29,WH-002,152,4,False,629.69,2024-07-29,71,142,148,False
212,1,2024-07-30,WH-002,151,33,False,638.83,2024-07-30,71,142,118,False
213,1,2024-07-31,WH-002,146,8,False,647.1,2024-07-31,71,142,138,False
214,1,2024-08-01,WH-002,143,26,False,640.25,2024-08-01,71,142,117,False
215,1,2024-08-02,WH-002,139,16,False,649.38,2024-08-02,71,142,123,False
216,1,2024-08-03,WH-002,137,28,False,627.87,2024-08-03,71,142,109,False
217,1,2024-08-04,WH-002,136,33,False,611.77,2024-08-04,71,142,103,False
218,1,2024-08-05,WH-002,130,12,False,633.0,2024-08-05,71,142,118,False
219,1,2024-08-06,WH-002,129,13,False,645.4,2024-08-06,71,142,116,False
220,1,2024-08-07,WH-002,128,10,False,643.47,2024-08-07,71,142,118,False
221,1,2024-08-08,WH-002,124,27,False,615.6,2024-08-08,71,142,97,False
222,1,2024-08-09,WH-002,122,12,False,637.54,2024-08-09,71,142,110,False
223,1,2024-08-10,WH-002,121,22,False,638.54,2024-08-10,71,142,99,False
224,1,2024-08-11,WH-002,117,25,False,642.8,2024-08-11,71,142,92,False
225,1,2024-08-12,WH-002,114,7,False,622.07,2024-08-12,71,142,107,False
226,1,2024-08-13,WH-002,114,7,False,648.73,2024-08-13,71,142,107,False
227,1,2024-08-14,WH-002,114,5,False,643.52,2024-08-14,71,142,109,False
228,1,2024-08-15,WH-002,114,15,False,629.01,2024-08-15,71,142,99,False
229,1,2024-08-16,WH-002,114,13,False,616.29,2024-08-16,71,142,101,False
230,1,2024-08-17,WH-002,114,18,False,632.76,2024-08-17,71,142,96,False
231,1,2024-08-18,WH-002,113,24,False,628.87,2024-08-18,71,142,89,False
232,1,2024-08-19,WH-002,110,11,False,622.88,2024-08-19,71,142,99,False
233,1,2024-08-20,WH-002,109,15,False,630.74,2024-08-20,71,142,94,False
234,1,2024-08-21,WH-002,107,9,False,643.84,2024-08-21,71,142,98,False
235,1,2024-08-22,WH-002,106,6,False,617.73,2024-08-22,71,142,100,False
236,1,2024-08-23,WH-002,100,11,False,635.0,2024-08-23,71,142,89,False
237,1,2024-08-24,WH-002,96,15,False,622.46,2024-08-24,71,142,81,False
238,1,2024-08-25,WH-002,95,8,False,636.98,2024-08-25,71,142,87,False
239,1,2024-08-26,WH-002,93,23,False,633.96,2024-08-26,71,142,70,True
240,1,2024-08-27,WH-002,85,20,False,640.77,2024-08-27,71,142,65,True
241,1,2024-08-28,WH-002,84,16,False,611.68,2024-08-28,71,142,68,True
242,1,2024-08-29,WH-002,83,3,False,642.64,2024-08-29,71,142,80,False
243,1,2024-08-30,WH-002,80,10,False,614.63,2024-08-30,71,142,70,True
244,1,2024-08-31,WH-002,79,0,False,643.54,2024-08-31,71,142,79,False
245,1,2024-09-01,WH-002,77,10,False,639.54,2024-09-01,71,142,67,True
246,1,2024-09-02,WH-002,75,5,False,620.5,2024-09-02,71,142,70,True
247,1,2024-09-03,WH-002,72,8,False,613.99,2024-09-03,71,142,64,True
248,1,2024-09-04,WH-002,70,3,True,633.44,2024-09-04,71,142,67,True
249,1,2024-09-05,WH-002,68,17,False,646.01,2024-09-05,71,142,51,True
250,1,2024-09-06,WH-002,66,7,False,619.71,2024-09-06,71,142,59,True
251,1,2024-09-07,WH-002,65,8,False,613.06,2024-09-07,71,142,57,True
252,1,2024-09-08,WH-002,64,9,False,630.41,2024-09-08,71,142,55,True
253,1,2024-09-09,WH-002,61,11,False,645.08,2024-09-09,71,142,50,True
254,1,2024-09-10,WH-002,58,0,False,644.77,2024-09-10,71,142,58,True
255,1,2024-09-11,WH-002,54,2,False,641.46,2024-09-11,71,142,52,True
256,1,2024-09-12,WH-002,50,7,False,642.77,2024-09-12,71,142,43,True
257,1,2024-09-13,WH-002,48,12,False,626.76,2024-09-13,71,142,36,True
258,1,2024-09-14,WH-002,45,7,False,635.91,2024-09-14,71,142,38,True
259,1,2024-09-15,WH-002,185,37,False,646.52,2024-09-15,71,142,148,False
260,1,2024-09-16,WH-002,182,12,False,628.9,2024-09-16,71,142,170,False
261,1,2024-09-17,WH-002,179,34,False,646.81,2024-09-17,71,142,145,False
262,1,2024-09-18,WH-002,177,40,False,621.43,2024-09-18,71,142,137,False
263,1,2024-09-19,WH-002,172,23,False,612.76,2024-09-19,71,142,149,False
264,1,2024-09-20,WH-002,171,27,False,647.03,2024-09-20,71,142,144,False
265,1,2024-09-21,WH-002,170,16,False,643.14,2024-09-21,71,142,154,False
266,1,2024-09-22,WH-002,169,20,False,613.75,2024-09-22,71,142,149,False
267,1,2024-09-23,WH-002,165,21,False,635.75,2024-09-23,71,142,144,False
268,1,2024-09-24,WH-002,159,15,False,618.65,2024-09-24,71,142,144,False
269,1,2024-09-25,WH-002,156,34,False,627.03,2024-09-25,71,142,122,False
270,1,2024-09-26,WH-002,155,1,False,627.9,2024-09-26,71,142,154,False
271,1,2024-09-27,WH-002,153,37,False,641.41,2024-09-27,71,142,116,False
272,1,2024-09-28,WH-002,150,23,False,630.8,2024-09-28,71,142,127,False
273,1,2024-09-29,WH-002,147,6,False,622.32,2024-09-29,71,142,141,False
274,1,2024-09-30,WH-002,146,9,False,642.52,2024-09-30,71,142,137,False
275,1,2024-10-01,WH-002,142,7,False,649.36,2024-10-01,71,142,135,False
276,1,2024-10-02,WH-002,138,33,False,625.84,2024-10-02,71,142,105,False
277,1,2024-10-03,WH-002,137,18,False,643.05,2024-10-03,71,142,119,False
278,1,2024-10-04,WH-002,132,30,False,630.61,2024-10-04,71,142,102,False
279,1,2024-10-05,WH-002,130,18,False,617.62,2024-10-05,71,142,112,False
280,1,2024-10-06,WH-002,129,7,False,642.69,2024-10-06,71,142,122,False
281,1,2024-10-07,WH-002,127,14,False,627.29,2024-10-07,71,142,113,False
282,1,2024-10-08,WH-002,124,2,False,613.87,2024-10-08,71,142,122,False
283,1,2024-10-09,WH-002,118,5,False,640.21,2024-10-09,71,142,113,False
284,1,2024-10-10,WH-002,117,13,False,623.12,2024-10-10,71,142,104,False
285,1,2024-10-11,WH-002,116,18,False,626.28,2024-10-11,71,142,98,False
286,1,2024-10-12,WH-002,112,26,False,622.9,2024-10-12,71,142,86,False
287,1,2024-10-13,WH-002,109,9,False,612.86,2024-10-13,71,142,100,False
288,1,2024-10-14,WH-002,105,11,False,644.08,2024-10-14,71,142,94,False
289,1,2024-10-15,WH-002,100,11,False,648.57,2024-10-15,71,142,89,False
290,1,2024-10-16,WH-002,95,16,False,618.14,2024-10-16,71,142,79,False
291,1,2024-10-17,WH-002,90,2,False,627.6,2024-10-17,71,142,88,False
292,1,2024-10-18,WH-002,87,15,False,635.09,2024-10-18,71,142,72,False
293,1,2024-10-19,WH-002,86,2,False,637.88,2024-10-19,71,142,84,False
294,1,2024-10-20,WH-002,84,12,False,646.83,2024-10-20,71,142,72,False
295,1,2024-10-21,WH-002,80,14,False,617.51,2024-10-21,71,142,66,True
296,1,2024-10-22,WH-002,75,16,False,634.98,2024-10-22,71,142,59,True
297,1,2024-10-23,WH-002,73,14,False,639.87,2024-10-23,71,142,59,True
298,1,2024-10-24,WH-002,68,14,True,635.58,2024-10-24,71,142,54,True
299,1,2024-10-25,WH-002,67,3,False,622.09,2024-10-25,71,142,64,True
300,1,2024-10-26,WH-002,66,11,False,649.36,2024-10-26,71,142,55,True
301,1,2024-10-27,WH-002,64,14,False,643.7,2024-10-27,71,142,50,True
302,1,2024-10-28,WH-002,60,15,False,645.74,2024-10-28,71,142,45,True
303,1,2024-10-29,WH-002,55,10,False,644.79,2024-10-29,71,142,45,True
304,1,2024-10-30,WH-002,50,12,False,632.66,2024-10-30,71,142,38,True
305,1,2024-10-31,WH-002,46,9,False,646.45,2024-10-31,71,142,37,True
306,1,2024-11-01,WH-002,44,3,False,630.33,2024-11-01,71,142,41,True
307,1,2024-11-02,WH-002,43,2,False,621.1,2024-11-02,71,142,41,True
308,1,2024-11-03,WH-002,41,1,False,640.33,2024-11-03,71,142,40,True
309,1,2024-11-04,WH-002,177,18,False,627.91,2024-11-04,71,142,159,False
310,1,2024-11-05,WH-002,172,20,False,616.54,2024-11-05,71,142,152,False
311,1,2024-11-06,WH-002,169,3,False,618.46,2024-11-06,71,142,166,False
312,1,2024-11-07,WH-002,166,33,False,619.7,2024-11-07,71,142,133,False
313,1,2024-11-08,WH-002,163,13,False,631.25,2024-11-08,71,142,150,False
314,1,2024-11-09,WH-002,162,13,False,627.3,2024-11-09,71,142,149,False
315,1,2024-11-10,WH-002,157,10,False,632.41,2024-11-10,71,142,147,False
316,1,2024-11-11,WH-002,155,23,False,632.0,2024-11-11,71,142,132,False
317,1,2024-11-12,WH-002,153,36,False,633.37,2024-11-12,71,142,117,False
318,1,2024-11-13,WH-002,150,6,False,640.56,2024-11-13,71,142,144,False
319,1,2024-11-14,WH-002,147,19,False,616.75,2024-11-14,71,142,128,False
320,1,2024-11-15,WH-002,137,15,False,615.4,2024-11-15,71,142,122,False
321,1,2024-11-16,WH-002,134,31,False,628.67,2024-11-16,71,142,103,False
322,1,2024-11-17,WH-002,133,9,False,629.72,2024-11-17,71,142,124,False
323,1,2024-11-18,WH-002,131,22,False,612.59,2024-11-18,71,142,109,False
324,1,2024-11-19,WH-002,129,1,False,631.21,2024-11-19,71,142,128,False
325,1,2024-11-20,WH-002,126,17,False,630.51,2024-11-20,71,142,109,False
326,1,2024-11-21,WH-002,124,30,False,627.04,2024-11-21,71,142,94,False
327,1,2024-11-22,WH-002,123,2,False,612.17,2024-11-22,71,142,121,False
328,1,2024-11-23,WH-002,122,19,False,634.07,2024-11-23,71,142,103,False
329,1,2024-11-24,WH-002,118,5,False,621.26,2024-11-24,71,142,113,False
330,1,2024-11-25,WH-002,112,22,False,631.21,2024-11-25,71,142,90,False
331,1,2024-11-26,WH-002,111,2,False,621.61,2024-11-26,71,142,109,False
332,1,2024-11-27,WH-002,110,0,False,613.92,2024-11-27,71,142,110,False
333,1,2024-11-28,WH-002,106,8,False,629.86,2024-11-28,71,142,98,False
334,1,2024-11-29,WH-002,105,23,False,623.55,2024-11-29,71,142,82,False
335,1,2024-11-30,WH-002,102,17,False,628.84,2024-11-30,71,142,85,False
336,1,2024-12-01,WH-002,97,13,False,631.89,2024-12-01,71,142,84,False
