forecast_id,product_id,forecast_date,generated_at,model_name,model_version,predicted_demand,lower_bound_95,upper_bound_95,actual_demand,mae,mape,confidence_score,horizon_days
53,1,2024-11-22,2024-11-15,xgboost_demand_v1,1.0.0,5.07,4.06,6.08,1.0,4.07,100.0,0.9053,7
54,1,2024-11-23,2024-11-16,xgboost_demand_v1,1.0.0,2.53,2.02,3.04,1.0,1.53,76.5,0.7528,7
55,1,2024-11-24,2024-11-17,xgboost_demand_v1,1.0.0,3.28,2.62,3.94,4.0,0.72,14.4,0.9749,7
56,1,2024-11-25,2024-11-18,xgboost_demand_v1,1.0.0,5.78,4.62,6.94,6.0,0.22,3.1429,0.9687,7
57,1,2024-11-26,2024-11-19,xgboost_demand_v1,1.0.0,5.86,4.69,7.03,1.0,4.86,100.0,0.9528,7
58,1,2024-11-27,2024-11-20,xgboost_demand_v1,1.0.0,6.12,4.9,7.34,1.0,5.12,100.0,0.9065,7
59,1,2024-11-28,2024-11-21,xgboost_demand_v1,1.0.0,5.86,4.69,7.03,4.0,1.86,37.2,0.9531,7
60,1,2024-11-29,2024-11-22,xgboost_demand_v1,1.0.0,17.31,13.85,20.77,1.0,16.31,100.0,0.7637,7
61,1,2024-11-30,2024-11-23,xgboost_demand_v1,1.0.0,6.93,5.54,8.32,3.0,3.93,98.25,0.9379,7
62,1,2024-12-01,2024-11-24,xgboost_demand_v1,1.0.0,8.37,6.7,10.04,5.0,3.37,56.1667,0.7889,7
63,1,2024-12-02,2024-11-25,xgboost_demand_v1,1.0.0,6.54,5.23,7.85,5.0,1.54,25.6667,0.9787,7
64,1,2024-12-03,2024-11-26,xgboost_demand_v1,1.0.0,6.88,5.5,8.26,5.0,1.88,31.3333,0.9243,7
65,1,2024-12-04,2024-11-27,xgboost_demand_v1,1.0.0,7.14,5.71,8.57,6.0,1.14,16.2857,0.8848,7
66,1,2024-12-05,2024-11-28,xgboost_demand_v1,1.0.0,3.79,3.03,4.55,4.0,0.21,4.2,0.5926,7
67,1,2024-12-06,2024-11-29,xgboost_demand_v1,1.0.0,7.68,6.14,9.22,7.0,0.68,8.5,0.8003,7
68,1,2024-12-07,2024-11-30,xgboost_demand_v1,1.0.0,4.08,3.26,4.9,1.0,3.08,100.0,0.9371,7
69,1,2024-12-08,2024-12-01,xgboost_demand_v1,1.0.0,3.51,2.81,4.21,4.0,0.49,9.8,0.9142,7
70,1,2024-12-09,2024-12-02,xgboost_demand_v1,1.0.0,6.04,4.83,7.25,7.0,0.96,12.0,0.9437,7
71,1,2024-12-10,2024-12-03,xgboost_demand_v1,1.0.0,7.03,5.62,8.44,2.0,5.03,100.0,0.9013,7
72,1,2024-12-11,2024-12-04,xgboost_demand_v1,1.0.0,6.14,4.91,7.37,10.0,3.86,35.0909,0.9587,7
73,1,2024-12-12,2024-12-05,xgboost_demand_v1,1.0.0,5.89,4.71,7.07,3.0,2.89,72.25,0.9199,7
74,1,2024-12-13,2024-12-06,xgboost_demand_v1,1.0.0,6.25,5.0,7.5,2.0,4.25,100.0,0.9763,7
75,1,2024-12-14,2024-12-07,xgboost_demand_v1,1.0.0,3.42,2.74,4.1,3.0,0.42,10.5,0.8914,7
76,1,2024-12-15,2024-12-08,xgboost_demand_v1,1.0.0,3.26,2.61,3.91,2.0,1.26,42.0,0.849,7
77,1,2024-12-16,2024-12-09,xgboost_demand_v1,1.0.0,6.35,5.08,7.62,2.0,4.35,100.0,0.99,7
78,1,2024-12-17,2024-12-10,xgboost_demand_v1,1.0.0,4.37,3.5,5.24,5.0,0.63,10.5,0.6821,7
79,1,2024-12-18,2024-12-11,xgboost_demand_v1,1.0.0,6.73,5.38,8.08,2.0,4.73,100.0,0.9482,7
80,1,2024-12-19,2024-12-12,xgboost_demand_v1,1.0.0,5.58,4.46,6.7,4.0,1.58,31.6,0.8713,7
81,1,2024-12-20,2024-12-13,xgboost_demand_v1,1.0.0,7.94,6.35,9.53,8.0,0.06,0.6667,0.7589,7
82,1,2024-12-21,2024-12-14,xgboost_demand_v1,1.0.0,4.08,3.26,4.9,1.0,3.08,100.0,0.9364,7
83,1,2024-12-22,2024-12-15,xgboost_demand_v1,1.0.0,4.23,3.38,5.08,2.0,2.23,74.3333,0.8971,7
84,1,2024-12-23,2024-12-16,xgboost_demand_v1,1.0.0,5.24,4.19,6.29,1.0,4.24,100.0,0.8187,7
85,1,2024-12-24,2024-12-17,xgboost_demand_v1,1.0.0,13.58,10.86,16.3,8.0,5.58,62.0,0.883,7
86,1,2024-12-25,2024-12-18,xgboost_demand_v1,1.0.0,1.52,1.22,1.82,2.0,0.48,16.0,0.7932,7
87,1,2024-12-26,2024-12-19,xgboost_demand_v1,1.0.0,6.14,4.91,7.37,3.0,3.14,78.5,0.9595,7
88,1,2024-12-27,2024-12-20,xgboost_demand_v1,1.0.0,5.11,4.09,6.13,4.0,1.11,22.2,0.798,7
89,1,2024-12-28,2024-12-21,xgboost_demand_v1,1.0.0,3.72,2.98,4.46,1.0,2.72,100.0,0.9692,7
90,1,2024-12-29,2024-12-22,xgboost_demand_v1,1.0.0,3.98,3.18,4.78,1.0,2.98,100.0,0.9627,7
91,1,2024-12-30,2024-12-23,xgboost_demand_v1,1.0.0,6.18,4.94,7.42,2.0,4.18,100.0,0.9654,7
92,1,2024-12-31,2024-12-24,xgboost_demand_v1,1.0.0,6.96,5.57,8.35,7.0,0.04,0.5,0.9068,7
93,2,2024-10-01,2024-09-24,xgboost_demand_v1,1.0.0,53.16,42.53,63.79,34.0,19.16,54.7429,0.9195,7
94,2,2024-10-02,2024-09-25,xgboost_demand_v1,1.0.0,49.12,39.3,58.94,46.0,3.12,6.6383,0.99,7
95,2,2024-10-03,2024-09-26,xgboost_demand_v1,1.0.0,48.32,38.66,57.98,14.0,34.32,100.0,0.9821,7
96,2,2024-10-04,2024-09-27,xgboost_demand_v1,1.0.0,50.99,40.79,61.19,26.0,24.99,92.5556,0.9635,7
97,2,2024-10-05,2024-09-28,xgboost_demand_v1,1.0.0,25.53,20.42,30.64,15.0,10.53,65.8125,0.8647,7
98,2,2024-10-06,2024-09-29,xgboost_demand_v1,1.0.0,32.5,26.0,39.0,15.0,17.5,100.0,0.899,7
99,2,2024-10-07,2024-09-30,xgboost_demand_v1,1.0.0,54.23,43.38,65.08,7.0,47.23,100.0,0.8977,7
100,2,2024-10-08,2024-10-01,xgboost_demand_v1,1.0.0,46.83,37.46,56.2,55.0,8.17,14.5893,0.9518,7
101,2,2024-10-09,2024-10-02,xgboost_demand_v1,1.0.0,50.89,40.71,61.07,48.0,2.89,5.898,0.9656,7
102,2,2024-10-10,2024-10-03,xgboost_demand_v1,1.0.0,50.18,40.14,60.22,37.0,13.18,34.6842,0.98,7
103,2,2024-10-11,2024-10-04,xgboost_demand_v1,1.0.0,55.47,44.38,66.56,24.0,31.47,100.0,0.8725,7
104,2,2024-10-12,2024-10-05,xgboost_demand_v1,1.0.0,38.51,30.81,46.21,10.0,28.51,100.0,0.6955,7
105,2,2024-10-13,2024-10-06,xgboost_demand_v1,1.0.0,34.4,27.52,41.28,16.0,18.4,100.0,0.8346,7
106,2,2024-10-14,2024-10-07,xgboost_demand_v1,1.0.0,42.11,33.69,50.53,49.0,6.89,13.78,0.8559,7
107,2,2024-10-15,2024-10-08,xgboost_demand_v1,1.0.0,54.34,43.47,65.21,12.0,42.34,100.0,0.8955,7
108,2,2024-10-16,2024-10-09,xgboost_demand_v1,1.0.0,65.5,52.4,78.6,16.0,49.5,100.0,0.6688,7
109,2,2024-10-17,2024-10-10,xgboost_demand_v1,1.0.0,43.3,34.64,51.96,10.0,33.3,100.0,0.8801,7
110,2,2024-10-18,2024-10-11,xgboost_demand_v1,1.0.0,57.68,46.14,69.22,33.0,24.68,72.5882,0.8277,7
111,2,2024-10-19,2024-10-12,xgboost_demand_v1,1.0.0,31.91,25.53,38.29,13.0,18.91,100.0,0.9191,7
112,2,2024-10-20,2024-10-13,xgboost_demand_v1,1.0.0,30.3,24.24,36.36,7.0,23.3,100.0,0.9734,7
113,2,2024-10-21,2024-10-14,xgboost_demand_v1,1.0.0,50.84,40.67,61.01,18.0,32.84,100.0,0.9666,7
114,2,2024-10-22,2024-10-15,xgboost_demand_v1,1.0.0,47.17,37.74,56.6,34.0,13.17,37.6286,0.9588,7
115,2,2024-10-23,2024-10-16,xgboost_demand_v1,1.0.0,40.45,32.36,48.54,27.0,13.45,48.0357,0.8221,7
116,2,2024-10-24,2024-10-17,xgboost_demand_v1,1.0.0,55.18,44.14,66.22,11.0,44.18,100.0,0.8785,7
117,2,2024-10-25,2024-10-18,xgboost_demand_v1,1.0.0,39.08,31.26,46.9,20.0,19.08,90.8571,0.7944,7
118,2,2024-10-26,2024-10-19,xgboost_demand_v1,1.0.0,28.78,23.02,34.54,7.0,21.78,100.0,0.975,7
119,2,2024-10-27,2024-10-20,xgboost_demand_v1,1.0.0,29.62,23.7,35.54,15.0,14.62,91.375,0.99,7
120,2,2024-10-28,2024-10-21,xgboost_demand_v1,1.0.0,47.21,37.77,56.65,16.0,31.21,100.0,0.9596,7
121,2,2024-10-29,2024-10-22,xgboost_demand_v1,1.0.0,50.42,40.34,60.5,16.0,34.42,100.0,0.9751,7
122,2,2024-10-30,2024-10-23,xgboost_demand_v1,1.0.0,60.64,48.51,72.77,35.0,25.64,71.2222,0.7675,7
123,2,2024-10-31,2024-10-24,xgboost_demand_v1,1.0.0,50.55,40.44,60.66,36.0,14.55,39.3243,0.9726,7
124,2,2024-11-01,2024-10-25,xgboost_demand_v1,1.0.0,42.39,33.91,50.87,19.0,23.39,100.0,0.9661,7
125,2,2024-11-02,2024-10-26,xgboost_demand_v1,1.0.0,27.56,22.05,33.07,5.0,22.56,100.0,0.8797,7
126,2,2024-11-03,2024-10-27,xgboost_demand_v1,1.0.0,26.12,20.9,31.34,11.0,15.12,100.0,0.9382,7
127,2,2024-11-04,2024-10-28,xgboost_demand_v1,1.0.0,41.64,33.31,49.97,44.0,2.36,5.2444,0.9843,7
128,2,2024-11-05,2024-10-29,xgboost_demand_v1,1.0.0,39.38,31.5,47.26,19.0,20.38,100.0,0.9604,7
129,2,2024-11-06,2024-10-30,xgboost_demand_v1,1.0.0,41.54,33.23,49.85,20.0,21.54,100.0,0.9867,7
130,2,2024-11-07,2024-10-31,xgboost_demand_v1,1.0.0,43.72,34.98,52.46,25.0,18.72,72.0,0.9335,7
131,2,2024-11-08,2024-11-01,xgboost_demand_v1,1.0.0,43.7,34.96,52.44,13.0,30.7,100.0,0.9341,7
132,2,2024-11-09,2024-11-02,xgboost_demand_v1,1.0.0,21.74,17.39,26.09,24.0,2.26,9.04,0.8838,7
133,2,2024-11-10,2024-11-03,xgboost_demand_v1,1.0.0,20.44,16.35,24.53,7.0,13.44,100.0,0.831,7
134,2,2024-11-11,2024-11-04,xgboost_demand_v1,1.0.0,43.6,34.88,52.32,10.0,33.6,100.0,0.9366,7
135,2,2024-11-12,2024-11-05,xgboost_demand_v1,1.0.0,37.11,29.69,44.53,10.0,27.11,100.0,0.9052,7
136,2,2024-11-13,2024-11-06,xgboost_demand_v1,1.0.0,41.52,33.22,49.82,28.0,13.52,46.6207,0.9872,7
137,2,2024-11-14,2024-11-07,xgboost_demand_v1,1.0.0,39.82,31.86,47.78,26.0,13.82,51.1852,0.9713,7
138,2,2024-11-15,2024-11-08,xgboost_demand_v1,1.0.0,38.66,30.93,46.39,4.0,34.66,100.0,0.9429,7
139,2,2024-11-16,2024-11-09,xgboost_demand_v1,1.0.0,26.21,20.97,31.45,5.0,21.21,100.0,0.9344,7
140,2,2024-11-17,2024-11-10,xgboost_demand_v1,1.0.0,24.87,19.9,29.84,28.0,3.13,10.7931,0.9888,7
141,2,2024-11-18,2024-11-11,xgboost_demand_v1,1.0.0,47.06,37.65,56.47,1.0,46.06,100.0,0.8522,7
142,2,2024-11-19,2024-11-12,xgboost_demand_v1,1.0.0,44.88,35.9,53.86,27.0,17.88,63.8571,0.9053,7
143,2,2024-11-20,2024-11-13,xgboost_demand_v1,1.0.0,36.67,29.34,44.0,17.0,19.67,100.0,0.8944,7
144,2,2024-11-21,2024-11-14,xgboost_demand_v1,1.0.0,38.87,31.1,46.64,20.0,18.87,89.8571,0.9482,7
145,2,2024-11-22,2024-11-15,xgboost_demand_v1,1.0.0,39.78,31.82,47.74,16.0,23.78,100.0,0.9702,7
146,2,2024-11-23,2024-11-16,xgboost_demand_v1,1.0.0,22.69,18.15,27.23,9.0,13.69,100.0,0.9225,7
147,2,2024-11-24,2024-11-17,xgboost_demand_v1,1.0.0,28.06,22.45,33.67,8.0,20.06,100.0,0.8592,7
148,2,2024-11-25,2024-11-18,xgboost_demand_v1,1.0.0,38.63,30.9,46.36,4.0,34.63,100.0,0.9421,7
149,2,2024-11-26,2024-11-19,xgboost_demand_v1,1.0.0,40.91,32.73,49.09,41.0,0.09,0.2143,0.99,7
150,2,2024-11-27,2024-11-20,xgboost_demand_v1,1.0.0,42.87,34.3,51.44,13.0,29.87,100.0,0.9544,7
151,2,2024-11-28,2024-11-21,xgboost_demand_v1,1.0.0,35.42,28.34,42.5,21.0,14.42,65.5455,0.864,7
152,2,2024-11-29,2024-11-22,xgboost_demand_v1,1.0.0,102.8,82.24,123.36,41.0,61.8,100.0,0.99,7
153,2,2024-11-30,2024-11-23,xgboost_demand_v1,1.0.0,64.67,51.74,77.6,44.0,20.67,45.9333,0.8052,7
154,2,2024-12-01,2024-11-24,xgboost_demand_v1,1.0.0,40.15,32.12,48.18,32.0,8.15,24.697,0.99,7
155,2,2024-12-02,2024-11-25,xgboost_demand_v1,1.0.0,35.46,28.37,42.55,9.0,26.46,100.0,0.961,7
156,2,2024-12-03,2024-11-26,xgboost_demand_v1,1.0.0,40.54,32.43,48.65,16.0,24.54,100.0,0.9015,7
157,2,2024-12-04,2024-11-27,xgboost_demand_v1,1.0.0,40.42,32.34,48.5,14.0,26.42,100.0,0.9045,7
158,2,2024-12-05,2024-11-28,xgboost_demand_v1,1.0.0,26.63,21.3,31.96,11.0,15.63,100.0,0.7216,7
159,2,2024-12-06,2024-11-29,xgboost_demand_v1,1.0.0,36.29,29.03,43.55,2.0,34.29,100.0,0.9834,7
160,2,2024-12-07,2024-11-30,xgboost_demand_v1,1.0.0,23.14,18.51,27.77,15.0,8.14,50.875,0.9548,7
161,2,2024-12-08,2024-12-01,xgboost_demand_v1,1.0.0,24.39,19.51,29.27,3.0,21.39,100.0,0.8984,7
162,2,2024-12-09,2024-12-02,xgboost_demand_v1,1.0.0,42.06,33.65,50.47,13.0,29.06,100.0,0.8601,7
163,2,2024-12-10,2024-12-03,xgboost_demand_v1,1.0.0,35.72,28.58,42.86,7.0,28.72,100.0,0.9681,7
164,2,2024-12-11,2024-12-04,xgboost_demand_v1,1.0.0,37.05,29.64,44.46,15.0,22.05,100.0,0.99,7
165,2,2024-12-12,2024-12-05,xgboost_demand_v1,1.0.0,33.96,27.17,40.75,1.0,32.96,100.0,0.9203,7
166,2,2024-12-13,2024-12-06,xgboost_demand_v1,1.0.0,42.3,33.84,50.76,29.0,13.3,44.3333,0.8537,7
167,2,2024-12-14,2024-12-07,xgboost_demand_v1,1.0.0,16.45,13.16,19.74,26.0,9.55,35.3704,0.7432,7
168,2,2024-12-15,2024-12-08,xgboost_demand_v1,1.0.0,18.41,14.73,22.09,20.0,1.59,7.5714,0.8313,7
169,2,2024-12-16,2024-12-09,xgboost_demand_v1,1.0.0,43.94,35.15,52.73,36.0,7.94,21.4595,0.8093,7
170,2,2024-12-17,2024-12-10,xgboost_demand_v1,1.0.0,36.68,29.34,44.02,18.0,18.68,98.3158,0.99,7
171,2,2024-12-18,2024-12-11,xgboost_demand_v1,1.0.0,34.95,27.96,41.94,7.0,27.95,100.0,0.9471,7
172,2,2024-12-19,2024-12-12,xgboost_demand_v1,1.0.0,41.34,33.07,49.61,9.0,32.34,100.0,0.8797,7
173,2,2024-12-20,2024-12-13,xgboost_demand_v1,1.0.0,29.42,23.54,35.3,7.0,22.42,100.0,0.7972,7
174,2,2024-12-21,2024-12-14,xgboost_demand_v1,1.0.0,22.75,18.2,27.3,14.0,8.75,58.3333,0.9724,7
175,2,2024-12-22,2024-12-15,xgboost_demand_v1,1.0.0,24.06,19.25,28.87,9.0,15.06,100.0,0.9131,7
176,2,2024-12-23,2024-12-16,xgboost_demand_v1,1.0.0,37.2,29.76,44.64,18.0,19.2,100.0,0.99,7
177,2,2024-12-24,2024-12-17,xgboost_demand_v1,1.0.0,41.71,33.37,50.05,68.0,26.29,38.1014,0.5949,7
178,2,2024-12-25,2024-12-18,xgboost_demand_v1,1.0.0,10.56,8.45,12.67,21.0,10.44,47.4545,0.9543,7
179,2,2024-12-26,2024-12-19,xgboost_demand_v1,1.0.0,32.54,26.03,39.05,29.0,3.54,11.8,0.8818,7
180,2,2024-12-27,2024-12-20,xgboost_demand_v1,1.0.0,44.94,35.95,53.93,13.0,31.94,100.0,0.7821,7
181,2,2024-12-28,2024-12-21,xgboost_demand_v1,1.0.0,25.04,20.03,30.05,8.0,17.04,100.0,0.8691,7
182,2,2024-12-29,2024-12-22,xgboost_demand_v1,1.0.0,21.37,17.1,25.64,10.0,11.37,100.0,0.9653,7
183,2,2024-12-30,2024-12-23,xgboost_demand_v1,1.0.0,28.91,23.13,34.69,9.0,19.91,100.0,0.7835,7
184,2,2024-12-31,2024-12-24,xgboost_demand_v1,1.0.0,44.27,35.42,53.12,15.0,29.27,100.0,0.99,7
185,3,2024-10-01,2024-09-24,xgboost_demand_v1,1.0.0,21.46,17.17,25.75,1.0,20.46,100.0,0.8585,7
186,3,2024-10-02,2024-09-25,xgboost_demand_v1,1.0.0,26.53,21.22,31.84,9.0,17.53,100.0,0.939,7
187,3,2024-10-03,2024-09-26,xgboost_demand_v1,1.0.0,25.95,20.76,31.14,4.0,21.95,100.0,0.9621,7
188,3,2024-10-04,2024-09-27,xgboost_demand_v1,1.0.0,23.84,19.07,28.61,5.0,18.84,100.0,0.9535,7
189,3,2024-10-05,2024-09-28,xgboost_demand_v1,1.0.0,15.65,12.52,18.78,2.0,13.65,100.0,0.9567,7
190,3,2024-10-06,2024-09-29,xgboost_demand_v1,1.0.0,19.64,15.71,23.57,5.0,14.64,100.0,0.6907,7
191,3,2024-10-07,2024-09-30,xgboost_demand_v1,1.0.0,20.05,16.04,24.06,3.0,17.05,100.0,0.8019,7
192,3,2024-10-08,2024-10-01,xgboost_demand_v1,1.0.0,21.55,17.24,25.86,4.0,17.55,100.0,0.8619,7
193,3,2024-10-09,2024-10-02,xgboost_demand_v1,1.0.0,25.78,20.62,30.94,8.0,17.78,100.0,0.969,7
194,3,2024-10-10,2024-10-03,xgboost_demand_v1,1.0.0,22.5,18.0,27.0,5.0,17.5,100.0,0.9,7
195,3,2024-10-11,2024-10-04,xgboost_demand_v1,1.0.0,26.18,20.94,31.42,11.0,15.18,100.0,0.953,7
196,3,2024-10-12,2024-10-05,xgboost_demand_v1,1.0.0,12.66,10.13,15.19,6.0,6.66,95.1429,0.8443,7
197,3,2024-10-13,2024-10-06,xgboost_demand_v1,1.0.0,15.1,12.08,18.12,7.0,8.1,100.0,0.99,7
198,3,2024-10-14,2024-10-07,xgboost_demand_v1,1.0.0,24.94,19.95,29.93,3.0,21.94,100.0,0.99,7
199,3,2024-10-15,2024-10-08,xgboost_demand_v1,1.0.0,26.94,21.55,32.33,13.0,13.94,99.5714,0.9223,7
200,3,2024-10-16,2024-10-09,xgboost_demand_v1,1.0.0,24.4,19.52,29.28,5.0,19.4,100.0,0.9761,7
201,3,2024-10-17,2024-10-10,xgboost_demand_v1,1.0.0,28.04,22.43,33.65,4.0,24.04,100.0,0.8786,7
202,3,2024-10-18,2024-10-11,xgboost_demand_v1,1.0.0,22.0,17.6,26.4,7.0,15.0,100.0,0.8799,7
203,3,2024-10-19,2024-10-12,xgboost_demand_v1,1.0.0,15.59,12.47,18.71,9.0,6.59,65.9,0.9608,7
204,3,2024-10-20,2024-10-13,xgboost_demand_v1,1.0.0,11.81,9.45,14.17,3.0,8.81,100.0,0.7876,7
205,3,2024-10-21,2024-10-14,xgboost_demand_v1,1.0.0,18.2,14.56,21.84,14.0,4.2,28.0,0.7281,7
206,3,2024-10-22,2024-10-15,xgboost_demand_v1,1.0.0,20.87,16.7,25.04,1.0,19.87,100.0,0.8349,7
207,3,2024-10-23,2024-10-16,xgboost_demand_v1,1.0.0,31.13,24.9,37.36,7.0,24.13,100.0,0.7548,7
208,3,2024-10-24,2024-10-17,xgboost_demand_v1,1.0.0,29.4,23.52,35.28,17.0,12.4,68.8889,0.8239,7
209,3,2024-10-25,2024-10-18,xgboost_demand_v1,1.0.0,26.1,20.88,31.32,9.0,17.1,100.0,0.9561,7
